Course,Section,Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Other,GPA,TermCode
ARC303, A,Seibert Tracey L.,0,3,5,1,0,1,0,0,0,0,0,0,0,0,3.65,201110
ARC321, A,Cevik Gulen,1,1,2,3,4,6,0,0,1,1,0,0,0,0,2.97,201110
ARC401, A,Paranandi Murali,1,7,8,3,2,1,0,1,1,0,0,0,0,0,3.5,201110
ARC402C, A,Paranandi Murali,3,8,4,4,2,2,1,1,1,0,2,0,0,0,3.26,201110
ARC403, A,Khodadad Nazanin,0,4,3,5,4,0,0,0,0,0,1,0,0,0,3.33,201110
ARC404C, A,Paranandi Murali,0,1,3,0,1,4,0,0,2,0,0,0,0,1,2.94,201110
ARC404F, A,Weigand John B.,0,5,5,1,2,2,1,0,1,0,0,0,0,0,3.36,201110
ARC404H, A,Humphries John M.,0,4,6,2,0,0,0,0,0,0,0,0,0,0,3.73,201110
ARC405C, A,Brown-Manrique Gerardo,0,6,5,0,0,0,0,0,0,0,0,0,0,0,3.86,201110
ARC405K, A,Reynolds John M.,0,0,3,7,2,1,1,0,0,0,0,0,0,0,3.23,201110
ARC405V, A,Fellows Diane,1,12,1,0,0,0,0,0,0,0,0,0,0,0,3.98,201110
ARC406C, A,Bonham Mary B.,0,1,8,4,0,1,0,0,0,0,0,0,0,1,3.54,201110
ARC410, A,Frank Michael A.,2,23,0,0,19,0,0,6,0,0,3,0,0,0,3.25,201110
ARC412, A,Frank Michael A.,0,11,0,0,6,0,0,0,0,0,0,0,0,2,3.65,201110
ARC413, A,Johnston Scott A.,0,0,2,1,3,1,1,2,1,0,1,0,0,1,2.62,201110
ARC417, A,Stephens Randy J.,1,1,9,13,6,3,0,1,2,2,0,0,1,0,3.03,201110
ARC427, A,Dutton Thomas A.,0,7,5,0,0,0,0,0,0,0,0,0,0,1,3.88,201110
ARC444, A,Callahan Denette E.,0,14,1,1,0,0,0,0,0,0,1,0,0,0,3.76,201110
ARC452, A,Benson Robert A.,0,1,3,4,2,2,0,0,0,0,0,0,0,1,3.31,201110
ARC477, A,Cevik Gulen,0,4,3,4,4,4,0,0,1,0,0,0,0,0,3.24,201110
ARC513, A,Johnston Scott A.,0,2,3,2,4,1,0,1,0,0,0,0,0,0,3.26,201110
ARC541, A,Sharp Timothy H.,5,4,0,0,3,0,0,0,0,0,0,0,0,0,3.75,201110
ARC601, A,Hinrichs Craig L.,0,3,5,6,1,1,0,0,0,0,0,0,0,0,3.5,201110
ARC634, A,Sanabria Sergio L.,0,2,1,5,5,1,1,0,0,0,1,0,0,0,3.08,201110
ARC701, A,Fellows Diane,0,9,3,0,1,0,0,1,0,0,0,0,0,0,3.72,201110
ART111, B,Collins Larry W.,0,1,4,5,4,2,1,1,0,0,0,0,0,1,3.17,201110
ART111, C,Skelton Samantha P.,3,5,5,2,2,0,0,0,0,0,0,0,0,0,3.71,201110
ART111, D,Wiseman William M.,0,1,6,4,3,2,0,0,0,0,0,0,1,0,3.16,201110
ART111, E,Featherstone Tracy E.,0,1,2,2,3,6,0,0,0,0,0,0,0,1,3.09,201110
ART111, F,Wiseman William M.,1,3,5,6,2,0,0,0,0,0,0,0,0,0,3.55,201110
ART121, A,Payne Brent,0,0,6,3,4,2,0,0,0,0,0,0,0,1,3.3,201110
ART121, B,Chung Joomi,2,1,8,5,0,1,1,0,0,0,0,0,0,0,3.51,201110
ART121, C,Moorhead Emily E.,0,1,2,2,4,1,1,1,1,0,0,0,0,1,2.98,201110
ART121, D,Featherstone Tracy E.,0,0,3,8,3,1,0,0,0,0,0,0,0,0,3.28,201110
ART121, E,Luthi Jeanne E.,1,3,2,0,1,2,0,0,0,1,0,0,0,0,3.31,201110
ART122, A,Raunft Ralph,1,5,7,0,0,0,0,0,0,0,0,0,0,2,3.84,201110
ART149,XA,Stevens Ron,0,13,0,1,0,0,0,0,0,0,0,0,0,1,3.95,201110
ART149,YA,Stevens Ron,0,5,3,0,0,0,0,0,0,0,1,0,0,4,3.57,201110
ART149,ZA,Stevens Ron,0,7,1,4,0,1,0,1,0,0,0,0,1,0,3.31,201110
ART151,TA,Perkins Samantha J.,1,1,6,2,4,2,3,0,0,0,0,0,0,2,3.22,201110
ART155,XA,Stephenson Taylor J.,6,5,1,0,0,1,0,0,0,0,0,0,0,0,3.88,201110
ART155,XB,Stephenson Taylor J.,4,7,0,0,0,0,0,0,0,0,0,0,0,0,4,201110
ART155,YA,Stephenson Taylor J.,5,5,0,0,0,0,0,0,0,0,0,0,0,1,4,201110
ART155,YB,Stephenson Taylor J.,3,8,0,0,0,0,0,0,0,0,0,0,0,2,4,201110
ART155,ZA,Stephenson Taylor J.,11,0,0,0,0,0,0,0,0,0,0,0,0,0,4,201110
ART155,ZB,Stephenson Taylor J.,14,0,1,0,0,0,0,0,0,0,0,0,0,0,3.98,201110
ART160,XA,Reeverts Derek O.,0,3,3,2,0,0,1,0,0,0,0,0,0,1,3.56,201110
ART160,XB,Reeverts Derek O.,0,1,4,2,0,0,0,0,0,0,0,0,0,3,3.63,201110
ART160,ZA,Reeverts Derek O.,0,0,4,2,1,2,1,0,0,0,0,0,0,1,3.21,201110
ART160,ZB,Reeverts Derek O.,0,1,5,0,2,0,0,1,0,0,0,0,0,1,3.39,201110
ART165,XA,Uzmann Erika A.,6,4,0,0,1,0,0,0,0,0,0,0,0,0,3.91,201110
ART165,YA,Uzmann Erika A.,3,6,0,1,0,1,0,0,0,0,0,0,0,1,3.82,201110
ART165,ZA,Uzmann Erika A.,3,1,2,0,0,1,0,0,0,0,0,0,1,4,3.26,201110
ART170,XA,Eacker Geoff,0,11,0,0,0,0,0,0,0,0,0,0,0,0,4,201110
ART170,YA,Eacker Geoff,1,9,0,0,1,0,0,0,0,0,0,0,0,1,3.91,201110
ART170,ZA,Eacker Geoff,3,7,0,0,1,0,0,1,0,0,0,0,0,1,3.75,201110
ART171, A,Collins Larry W.,0,0,4,4,1,4,1,0,0,0,0,0,0,1,3.15,201110
ART185, A,Wicks Ann B.,1,24,25,16,17,13,4,6,4,1,2,0,4,8,3.1,201110
ART187, A,Hearne Auna R.,20,18,21,17,21,13,8,10,4,0,4,1,3,7,3.1,201110
ART188, A,Casper Andrew R.,0,19,16,15,22,15,14,12,7,6,2,3,7,10,2.69,201110
ART188, C,Smith Daniel L.,2,5,12,4,12,15,4,10,19,3,6,3,6,36,2.33,201110
ART189, A,Butler Sara L.,0,7,4,6,7,5,1,2,1,0,0,0,2,1,3,201110
ART195, A,Langan Jean L.,0,20,0,0,0,0,0,0,0,0,0,0,0,0,4,201110
ART201, A,Lindsey Julia A.,0,14,1,0,0,0,0,0,0,0,0,0,0,0,3.98,201110
ART221, A,Litteken Matthew W.,0,1,2,3,1,3,0,0,0,0,0,0,0,0,3.24,201110
ART221, B,Bonham Daniel L.,0,7,4,1,2,0,0,0,0,0,0,0,0,2,3.72,201110
ART231, A,Litteken Matthew W.,0,0,4,2,2,1,2,1,1,0,0,0,0,0,2.95,201110
ART231, B,Payne Brent,0,4,3,3,3,1,0,0,0,0,0,0,0,1,3.48,201110
ART233, A,Butler Sara L.,1,5,10,3,5,2,1,1,0,1,0,0,0,0,3.34,201110
ART241, B,Price Ellen J.,0,3,2,4,2,1,1,0,0,0,0,0,0,0,3.35,201110
ART251, A,Armstrong Helen,0,0,8,8,4,0,0,0,0,0,0,0,0,0,3.4,201110
ART252, A,Effler Thomas,0,2,4,7,7,0,0,0,0,0,0,0,0,0,3.35,201110
ART255, A,Stevens Ron,0,4,5,0,1,0,1,0,0,0,0,0,0,1,3.62,201110
ART256, A,Perkins Samantha J.,0,3,22,2,0,2,0,0,0,0,0,0,1,1,3.51,201110
ART257, B,Yamashiro Jon M.,0,7,6,3,1,0,0,0,0,0,0,0,0,0,3.71,201110
ART261, A,Tobin Dennis E.,0,7,3,0,2,0,0,0,0,0,0,0,0,0,3.76,201110
ART261, B,Tobin Dennis E.,0,7,3,0,2,3,0,0,0,0,0,0,0,0,3.55,201110
ART264, A,Schutte Katie K.,1,4,3,1,4,0,0,0,0,0,0,0,0,0,3.57,201110
ART264, B,Riggle Geoffrey W.,0,4,2,2,2,0,1,0,1,0,0,0,1,0,3.08,201110
ART271, A,Moorhead Emily E.,0,1,3,4,1,1,0,0,0,0,0,0,0,0,3.4,201110
ART271, B,Northcutt Rodney W.,0,9,2,1,0,0,0,0,0,0,0,0,0,0,3.89,201110
ART278, A,Wicks Ann B.,2,3,5,0,2,0,0,0,0,0,0,0,0,1,3.71,201110
ART281, A,Featherstone Tracy E.,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,201110
ART285, A,Stetler Pepper,0,1,3,3,4,1,1,1,0,1,0,0,1,0,2.83,201110
ART308E, A,Lindsey Julia A.,0,18,1,0,0,0,0,1,0,0,0,0,0,0,3.89,201110
ART308E, B,Pace Amy M.,0,24,0,0,0,0,0,0,0,0,0,0,0,0,4,201110
ART308E, C,Pace Amy M.,0,23,0,0,0,0,0,0,0,0,0,0,0,0,4,201110
ART321, A,Bonham Daniel L.,0,4,5,1,0,0,0,0,1,0,0,0,0,0,3.59,201110
ART323, A,Chung Joomi,2,6,2,1,0,0,0,0,1,0,0,0,1,0,3.42,201110
ART351, A,Armstrong Helen,0,2,11,4,1,0,0,1,0,0,0,0,0,0,3.52,201110
ART353, A,Perkins Samantha J.,1,9,4,2,2,2,0,0,0,0,0,0,0,0,3.64,201110
ART355, A,Rea Jessica T.,0,8,4,5,2,0,0,0,0,0,0,0,0,0,3.65,201110
ART357, A,Yamashiro Jon M.,0,6,4,2,0,1,1,0,0,0,0,0,0,2,3.6,201110
ART401, A,Raunft Ralph,2,11,2,0,0,0,0,0,0,0,0,0,0,0,3.96,201110
ART404, A,Langan Jean L.,0,10,0,0,0,0,0,1,0,0,0,0,0,0,3.82,201110
ART419, A,Raunft Ralph,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,201110
ART451, A,Faimon Margaret A.,0,2,1,1,6,3,1,3,0,0,0,0,0,0,2.91,201110
ART480, A,jegede dele,0,2,3,3,5,0,0,0,0,0,0,0,0,1,3.38,201110
ART485, A,Getty Clive F.,0,1,0,4,3,1,1,1,1,3,2,0,1,1,2.27,201110
ART487, A,Getty Clive F.,0,0,1,1,6,2,0,2,1,1,0,1,1,1,2.38,201110
ATH155, A,Tolley Arthur R.,2,25,4,1,13,0,0,3,0,0,1,0,1,3,3.44,201110
ATH155, B,Cowie Sarah E.,2,5,8,8,17,8,2,0,2,0,1,1,0,2,3.08,201110
ATH175, A,Peterson Mark A.,1,42,37,58,40,19,19,19,10,2,9,2,15,10,2.87,201110
ATH185, A,Cowie Sarah E.,7,20,20,9,3,3,1,1,0,0,1,0,0,2,3.6,201110
ATH185, B,Cowie Sarah E.,6,15,14,9,13,4,2,0,1,0,0,0,0,5,3.46,201110
ATH185H, A,Bielo James S.,3,5,7,3,1,1,0,0,1,0,0,0,0,0,3.58,201110
ATH212, A,Spielbauer Ronald H.,0,6,10,5,5,2,2,0,0,0,0,0,2,1,3.2,201110
ATH231, A,Zraly Maggie,6,8,9,3,3,2,1,0,0,0,0,0,0,0,3.62,201110
ATH255, A,Suarez Scott A.,0,2,1,7,5,3,1,6,3,0,1,2,1,0,2.49,201110
ATH265, A,Peterson Mark A.,1,3,6,7,9,2,1,0,0,2,0,0,1,1,3.08,201110
ATH301, A,Peterson Mark A.,0,0,11,9,4,1,0,0,1,0,0,0,0,0,3.34,201110
ATH313, A,Spielbauer Ronald H.,0,2,11,6,2,0,0,0,0,0,0,1,1,0,3.27,201110
ATH325, A,Zraly Maggie,5,8,5,0,2,4,0,1,1,0,0,0,2,0,3.25,201110
ATH348, A,Zraly Maggie,2,5,2,5,2,1,0,2,0,0,0,0,1,1,3.23,201110
ATH355, A,Marchant Linda F.,1,3,4,0,3,3,1,3,2,3,2,0,1,0,2.52,201110
ATH390R, A,Sidky Homayun,0,9,0,1,0,0,0,0,0,0,0,0,0,0,3.93,201110
ATH402, A,Spielbauer Ronald H.,1,8,3,0,2,0,0,0,0,0,0,0,1,0,3.54,201110
ATH403, A,Bielo James S.,0,2,1,3,2,0,1,0,0,0,0,0,1,3,2.99,201110
ATH421, A,Suarez Scott A.,0,3,7,5,2,0,0,0,0,0,0,0,0,1,3.55,201110
ATH465, A,Bielo James S.,2,1,3,2,1,0,1,1,0,1,0,0,0,1,3.19,201110
BLS342, A,Humbach Thomas E.,1,15,8,43,91,39,13,19,2,5,0,1,0,8,2.92,201110
BLS342, B,Becker Paul A.,0,22,7,13,45,21,27,34,2,2,5,0,1,34,2.74,201110
BLS342, C,Loftus Matthew C.,0,0,2,1,12,5,2,0,0,1,0,0,0,0,2.87,201110
BLS342, D,Haughey Daniel E.,0,4,0,8,10,1,1,0,1,0,0,0,0,0,3.16,201110
BLS342C, B,Herron Daniel J.,0,6,4,5,8,0,0,0,0,0,0,0,0,0,3.45,201110
BLS442, A,Becker Paul A.,0,4,2,2,10,1,1,4,1,0,0,0,0,1,2.99,201110
BLS442, B,Becker Paul A.,0,1,1,3,7,0,1,4,0,1,0,0,2,1,2.51,201110
BLS443, A,Humbach Thomas E.,0,3,7,5,4,1,0,0,0,1,0,0,0,0,3.35,201110
BLS464, A,Humbach Thomas E.,0,2,5,2,15,2,1,0,0,0,0,0,0,1,3.18,201110
BLS464, B,Humbach Thomas E.,0,2,1,5,6,3,2,1,0,0,0,0,0,0,3.05,201110
BLS465, A,Meyers Karen D.,0,1,10,12,1,1,0,0,0,0,0,0,0,0,3.45,201110
BLS465, B,Meyers Karen D.,1,1,15,5,0,1,0,0,0,0,0,0,0,0,3.6,201110
BLS465, C,Bailey Todd H.,0,3,12,4,0,1,0,0,0,0,0,0,0,0,3.62,201110
BLS465, D,Bailey Todd H.,0,5,10,6,0,0,0,0,0,0,0,0,0,0,3.66,201110
BLS465, E,Haughey Daniel E.,0,12,7,0,0,0,0,0,0,0,0,0,1,0,3.7,201110
BLS465C, A,Bailey Todd H.,0,11,8,2,2,0,0,0,0,0,0,0,0,0,3.75,201110
BOT101, A,Barnum Susan R.,0,2,0,0,9,0,0,7,1,1,1,0,2,3,2.3,201110
BOT101, B,Barnum Susan R.,0,3,2,3,8,0,0,4,3,0,1,0,0,2,2.81,201110
BOT131,VB,Huerta Alfredo J.,0,4,2,4,10,2,1,3,0,0,2,0,0,1,2.94,201110
BOT131,VC,Huerta Alfredo J.,0,2,2,3,3,1,7,5,1,0,2,1,1,2,2.41,201110
BOT131,VD,Huerta Alfredo J.,0,0,3,1,4,5,0,6,0,0,1,0,0,1,2.65,201110
BOT131,VE,Huerta Alfredo J.,0,1,1,0,2,0,2,1,1,0,1,0,1,1,2.3,201110
BOT131,VJ,Huerta Alfredo J.,2,1,3,4,7,2,7,0,0,1,0,0,2,1,2.76,201110
BOT131,VK,Huerta Alfredo J.,0,1,2,7,3,5,2,2,2,3,1,0,0,2,2.64,201110
BOT131,VL,Huerta Alfredo J.,0,1,0,4,6,3,3,1,1,1,2,0,0,8,2.6,201110
BOT131,VM,Huerta Alfredo J.,0,1,4,6,5,1,5,4,1,0,0,0,2,1,2.67,201110
BOT131,VN,Huerta Alfredo J.,0,1,2,3,3,7,4,0,1,1,3,0,0,4,2.58,201110
